% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2021
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2021 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2021, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197611	 -0.08199193	 -0.02183527	 -0.02436709	
197612	 -0.02567946	  0.05532417	 -0.01139266	
197701	 -0.06248706	 -0.04494468	 -0.03086918	
197702	 -0.00039705	  0.03528576	 -0.00920798	
197703	 -0.05633423	  0.03163745	  0.01040882	
197704	 -0.01072185	 -0.01001119	 -0.02282789	
197705	 -0.03332456	 -0.01484469	  0.01636490	
197706	 -0.00864341	  0.01604759	  0.02395620	
197707	 -0.04816932	 -0.01430683	  0.00139087	
197708	 -0.04412220	  0.00456724	  0.03093138	
197709	 -0.04748178	 -0.02208128	  0.01013275	
197710	 -0.03260695	 -0.00240142	 -0.01274382	
197711	 -0.01279571	  0.02791821	  0.00334035	
197712	  0.02084873	  0.03482073	 -0.00705913	
197801	 -0.04222258	 -0.00701274	  0.00736737	
197802	 -0.01929822	  0.01234321	  0.00018492	
197803	 -0.01049430	  0.00277031	  0.01715305	
197804	 -0.00780383	  0.01826003	  0.03159316	
197805	  0.01785201	  0.02100722	  0.01451886	
197806	  0.01073519	  0.01269881	  0.01060351	
197807	 -0.04349239	 -0.03676335	  0.03028210	
197808	  0.02096417	  0.03606435	 -0.00056369	
197809	 -0.00570674	 -0.01222831	 -0.02721710	
197810	 -0.10828928	 -0.10298933	  0.04372945	
197811	 -0.07491575	 -0.03185651	 -0.03258404	
197812	 -0.03422058	  0.03664192	  0.00261659	
197901	 -0.01441439	  0.02474510	 -0.00987982	
197902	 -0.03296427	  0.00696537	 -0.02962058	
197903	 -0.04381288	  0.02115589	 -0.00548050	
197904	  0.00478602	  0.05510273	  0.01765909	
197905	 -0.08102735	 -0.04676429	 -0.02151047	
197906	 -0.01188102	  0.02291208	 -0.01708665	
197907	  0.02263928	  0.06107403	 -0.01701357	
197908	  0.01305124	  0.03570077	  0.01518750	
197909	 -0.07426784	 -0.06427295	 -0.01024127	
197910	 -0.15447257	 -0.10437794	 -0.00051500	
197911	 -0.03883258	  0.00821258	 -0.06797930	
197912	 -0.00920058	  0.02556447	 -0.01646801	
198001	 -0.05958447	 -0.01991575	  0.00135218	
198002	 -0.09784091	 -0.04289012	  0.01930311	
198003	 -0.14193797	 -0.08637939	  0.02745496	
198004	 -0.05117316	 -0.02945394	 -0.00952238	
198005	  0.03284126	  0.07905986	 -0.00780980	
198006	 -0.01566887	  0.00218167	  0.01063233	
198007	 -0.03519602	 -0.01766988	 -0.00699638	
198008	  0.00723605	  0.05234858	  0.01334038	
198009	 -0.04758752	 -0.01751757	  0.00989653	
198010	 -0.01239088	  0.03467165	  0.02669153	
198011	 -0.02423485	  0.00305151	  0.03009778	
198012	 -0.05639616	 -0.01384743	  0.02694688	
198101	 -0.02295500	  0.00377198	  0.03966380	
198102	 -0.00758953	  0.00053898	  0.00287617	
198103	 -0.02136465	  0.01290280	  0.01465041	
198104	 -0.02810852	  0.00985293	 -0.01873627	
198105	  0.00737341	  0.02850603	 -0.02642600	
198106	  0.00168118	  0.03020218	  0.06166828	
198107	 -0.01763500	  0.01035802	 -0.01321385	
198108	 -0.07670137	 -0.04416783	 -0.00157323	
198109	 -0.15284444	 -0.12049924	  0.09324899	
198110	 -0.04551135	 -0.00157965	 -0.02447171	
198111	 -0.03161579	 -0.01258707	  0.06097189	
198112	 -0.02358720	  0.02626849	  0.00956992	
198201	 -0.06997584	 -0.05857811	 -0.01978417	
198202	 -0.12230555	 -0.08204841	 -0.01144574	
198203	 -0.03094867	  0.00978324	  0.04354018	
198204	  0.00482292	  0.04427745	 -0.02399156	
198205	 -0.00252187	 -0.00837581	  0.02935751	
198206	 -0.01252549	  0.01944461	  0.04970968	
198207	  0.01259311	  0.01738016	 -0.01586295	
198208	 -0.05756179	 -0.03731824	 -0.00509109	
198209	 -0.02623568	  0.02402053	  0.04186289	
198210	 -0.04193409	 -0.00610015	 -0.03783243	
198211	 -0.00449950	  0.02776957	  0.01049033	
198212	  0.00074378	  0.02923202	 -0.03135686	
198301	 -0.02964785	  0.00125198	 -0.05499215	
198302	  0.00812041	  0.03886855	 -0.03157817	
198303	 -0.04766193	 -0.02667234	  0.04051042	
198304	 -0.00471343	  0.02464692	  0.03543041	
198305	 -0.07871142	 -0.04670623	  0.01830252	
198306	 -0.00339973	  0.04776249	  0.00094532	
198307	 -0.04793408	 -0.02440093	  0.04395687	
198308	 -0.04234025	 -0.01072404	  0.04392753	
198309	 -0.02372084	  0.02599934	  0.01339034	
198310	  0.03439859	  0.06046110	  0.05833173	
198311	  0.01370172	  0.04962518	 -0.07128232	
198312	 -0.03358922	  0.01366078	  0.05049241	
198401	 -0.02518414	 -0.00588246	  0.06415702	
198402	 -0.04222727	 -0.02792487	  0.00542683	
198403	 -0.00982163	  0.03000845	  0.00929480	
198404	 -0.08444471	 -0.04762645	  0.00440053	
198405	  0.00682982	  0.04557110	  0.02411814	
198406	 -0.01601648	  0.02483768	 -0.00251545	
198407	 -0.02663180	  0.01111180	  0.02114858	
198408	  0.00187372	  0.03261618	 -0.03419201	
198409	 -0.01898864	  0.01060559	  0.02442012	
198410	 -0.02988708	 -0.01155727	 -0.00887039	
198411	 -0.00231840	  0.00593838	  0.01627870	
198412	 -0.03602564	 -0.00364999	  0.00039742	
198501	 -0.00841324	  0.01650396	 -0.01660344	
198502	 -0.01040315	  0.00581869	  0.02277367	
198503	  0.00593392	  0.00323844	  0.03882319	
198504	  0.01006849	  0.02948968	  0.03804409	
198505	  0.00000677	  0.02233604	 -0.00808688	
198506	 -0.00496640	 -0.00272170	  0.00855668	
198507	 -0.02202200	  0.02277428	 -0.01828073	
198508	  0.02641898	  0.03266746	  0.02600935	
198509	 -0.01917228	 -0.00913379	  0.01085101	
198510	 -0.01874444	 -0.01516612	  0.05068405	
198511	 -0.00196966	  0.02663013	  0.00714591	
198512	 -0.01579079	  0.02361030	 -0.01941905	
198601	 -0.06592515	 -0.03724816	  0.01964165	
198602	 -0.00938448	  0.01969409	  0.00105304	
198603	  0.00792626	  0.04427761	  0.03636420	
198604	  0.02937072	  0.02368751	 -0.00514238	
198605	  0.00463582	  0.01843425	  0.02744911	
198606	 -0.06956802	 -0.06464891	  0.06008930	
198607	 -0.00237977	  0.01845412	 -0.01803947	
198608	 -0.02734166	  0.01242546	 -0.02737228	
198609	 -0.00466824	 -0.02467136	  0.04080236	
198610	  0.03939260	  0.06213322	  0.02056557	
198611	  0.01677837	  0.02202189	 -0.03060519	
198612	  0.01118096	  0.03197100	 -0.01213806	
198701	 -0.02911501	 -0.00991881	 -0.07241072	
198702	  0.00529227	  0.02488467	 -0.04014600	
198703	 -0.02361702	  0.01667019	 -0.01467193	
198704	 -0.12662749	 -0.10964750	 -0.03959467	
198705	  0.00544621	  0.03076124	  0.01152273	
198706	  0.00750473	  0.05712944	  0.02590464	
198707	  0.01877447	 -0.02577590	  0.00712808	
198708	 -0.00003515	  0.01161324	 -0.05849465	
198709	 -0.04182135	 -0.05549046	  0.00235247	
198710	 -0.46169773	 -0.39319125	  0.05410623	
198711	 -0.02515845	 -0.07199886	 -0.01776240	
198712	 -0.10552480	 -0.02671509	  0.00747977	
198801	 -0.11083843	 -0.07607559	  0.04419692	
198802	 -0.03348581	  0.06225470	  0.00331616	
198803	 -0.03029858	  0.02714262	 -0.02013371	
198804	  0.00880543	  0.02880282	 -0.02541390	
198805	 -0.06855347	 -0.00167879	 -0.00528940	
198806	  0.00688993	  0.01926578	 -0.00985635	
198807	  0.01712411	  0.03243752	 -0.00858824	
198808	 -0.02484266	  0.02635278	  0.03568304	
198809	 -0.02317842	  0.00109858	  0.01492452	
198810	 -0.04267395	  0.00290931	  0.02377163	
198811	 -0.06681857	 -0.00929735	 -0.00081669	
